Information listing created by	User
Date	08-Dec-2023 22:29:30
Current work part	C:\Users\User\Documents\GitHub\MComp_24\NX\geometria finalSim_fem12.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  195                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 128 71 61
  196                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 130 126 128
  197                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 130 128 61
  198                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 173 171 126
  199                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 173 126 130
  200                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 60 59 132
  201                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 132 59 175
  202                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 130 60 132
  203                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 132 175 173
  204                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 132 173 130
 
------------------------------------------------------------
 
