Listagem de informações criada por	PC
Data	05-Dec-2023 00:11:24
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  202                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 97 401 402
  203                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 96 401 97
  204                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 98 402 403
  205                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 97 402 98
  206                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 99 403 404
  207                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 98 403 99
  208                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 100 404 426
  209                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 99 404 100
  210                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 100 426 405
  211                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 101 405 406
  212                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 100 405 101
  213                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 16 406 407
  214                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 101 406 16
  215                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 23 24 22
  216                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 51 52 50
  217                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 57 58 56
  218                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 66 67 65
  219                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 81 82 80
  220                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 100 101 99
  221                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 104 1 2
  222                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 102 1 103
  223                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 103 1 104
  224                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 106 2 3
  225                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 104 2 105
  226                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 105 2 106
  227                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 108 3 4
  228                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 106 3 107
  229                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 107 3 108
  230                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 110 4 5
  231                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 108 4 109
  232                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 109 4 110
  233                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 112 5 6
  234                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 110 5 111
  235                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 111 5 112
  236                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 114 6 7
  237                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 112 6 113
  238                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 113 6 114
  239                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 116 7 8
  240                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 114 7 115
  241                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 115 7 116
  242                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 118 8 9
  243                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 116 8 117
  244                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 117 8 118
  245                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 120 9 10
  246                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 118 9 119
  247                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 119 9 120
  248                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 122 10 11
  249                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 120 10 121
  250                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 121 10 122
  251                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 124 11 12
  252                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 122 11 123
  253                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 123 11 124
  254                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 126 12 13
  255                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 124 12 125
  256                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 125 12 126
  257                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 128 13 14
  258                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 126 13 127
  259                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 127 13 128
  260                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 130 14 15
  261                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 128 14 129
  262                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 129 14 130
  263                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 102 15 1
  264                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 130 15 131
  265                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 131 15 102
  266                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 133 18 19
  267                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 132 18 133
  268                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 134 19 20
  269                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 133 19 134
  270                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 135 20 21
  271                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 134 20 135
  272                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 136 21 22
  273                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 135 21 136
  274                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 136 22 24
