Information listing created by	User
Date	10-Dec-2023 21:43:42
Current work part	C:\Users\User\Desktop\Nx\geometria finalSim_fem3.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  197                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 84 133 17
  198                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 98 19 18
  199                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 18 133 99
  200                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 18 99 98
  201                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 83 72 112
  202                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 111 82 83
  203                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 111 83 112
  204                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 72 83 70
  205                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 121 71 100
  206                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 100 114 129
  207                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 100 129 121
  208                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 114 100 70
  209                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 71 72 70
  210                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 71 70 100
  211                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 4 19 82
  212                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 4 82 111
 
------------------------------------------------------------
 
